"OLF_ID","OLF_OLF_ID","OLF_CODE","OLF_NAME","START_DATE","END_DATE"
72,,"100","ПІДПРИЄМСТВА",,
73,72,"110","ФЕРМЕРСЬКЕ ГОСПОДАРСТВО",,
74,72,"120","ПРИВАТНЕ ПІДПРИЄМСТВО",,
75,72,"130","КОЛЕКТИВНЕ ПІДПРИЄМСТВО",,"4/10/06, 00:00:00"
76,72,"185","ПІДПРИЄМСТВО СПОЖИВЧОЇ КООПЕРАЦІЇ",,
77,107,"490","ОРГАНІЗАЦІЯ ОРЕНДАРІВ",,"4/10/06, 00:00:00"
78,136,"930","СПОЖИВЧЕ ТОВАРИСТВО",,
79,,"200","ГОСПОДАРСЬКІ ТОВАРИСТВА",,
80,107,"495","ОРГАНІЗАЦІЯ ПОКУПЦІВ",,"4/10/06, 00:00:00"
81,136,"925","КРЕДИТНА СПІЛКА",,
82,72,"140","ДЕРЖАВНЕ ПІДПРИЄМСТВО",,
83,72,"145","КАЗЕННЕ ПІДПРИЄМСТВО",,
84,72,"150","КОМУНАЛЬНЕ ПІДПРИЄМСТВО",,
85,72,"160","ДОЧІРНЄ ПІДПРИЄМСТВО",,
86,72,"170","ІНОЗЕМНЕ ПІДПРИЄМСТВО",,
87,72,"180","ПІДПРИЄМСТВО ОБ'ЄДНАННЯ ГРОМАДЯН (РЕЛІГІЙНОЇ ОРГАНІЗАЦІЇ,ПРОФСПІЛКИ)",,
88,72,"190","ОРЕНДНЕ ПІДПРИЄМСТВО",,"4/10/06, 00:00:00"
89,72,"191","ІНДИВІДУАЛЬНЕ ПІДПРИЄМСТВО",,"4/10/06, 00:00:00"
90,72,"192","СІМЕЙНЕ ПІДПРИЄМСТВО",,"4/10/06, 00:00:00"
91,72,"193","СПІЛЬНЕ ПІДПРИЄМСТВО",,"4/10/06, 00:00:00"
92,79,"230","АКЦІОНЕРНЕ ТОВАРИСТВО",,
93,79,"231","ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО",,"4/29/09, 00:00:00"
94,79,"232","ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО",,"4/29/09, 00:00:00"
95,79,"235","ДЕРЖАВНА АКЦІОНЕРНА КОМПАНІЯ (ТОВАРИСТВО)",,
96,79,"240","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ",,
97,79,"250","ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ",,
98,79,"260","ПОВНЕ ТОВАРИСТВО",,
99,79,"270","КОМАНДИТНЕ ТОВАРИСТВО",,
100,,"300","КООПЕРАТИВИ",,
101,100,"310","ВИРОБНИЧИЙ КООПЕРАТИВ",,
102,100,"320","ОБСЛУГОВУЮЧИЙ КООПЕРАТИВ",,
103,100,"330","СПОЖИВЧИЙ КООПЕРАТИВ",,
104,100,"340","СІЛЬСЬКОГОСПОДАРСЬКИЙ ВИРОБНИЧИЙ КООПЕРАТИВ",,
105,100,"350","СІЛЬСЬКОГОСПОДАРСЬКИЙ ОБСЛУГОВУЮЧИЙ КООПЕРАТИВ",,
106,100,"390","КООПЕРАТИВНИЙ БАНК",,
107,,"400","ОРГАНІЗАЦІЇ (УСТАНОВИ, ЗАКЛАДИ)",,
108,107,"410","ОРГАН ВИКОНАВЧОЇ ВЛАДИ",,"4/10/06, 00:00:00"
109,107,"420","ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ",,
110,107,"425","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",,
111,107,"430","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",,
112,107,"435","ПРИВАТНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",,
113,107,"440","ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) ОБ'ЄДНАННЯ ГРОМАДЯН",,
114,,"500","ОБ'ЄДНАННЯ ПІДПРИЄМСТВ (ЮРИДИЧНИХ ОСІБ)",,
115,114,"510","АСОЦІАЦІЯ",,
116,114,"520","КОРПОРАЦІЯ",,
117,114,"530","КОНСОРЦІУМ",,
118,114,"540","КОНЦЕРН",,
119,114,"550","ХОЛДИНГОВА КОМПАНІЯ",,
120,114,"590","ІНШІ ОБ'ЄДНАННЯ ЮРИДИЧНИХ ОСІБ",,
121,,"600","ВІДОКРЕМЛЕНІ ПІДРОЗДІЛИ БЕЗ СТАТУСУ ЮРИДИЧНОЇ ОСОБИ",,
122,121,"610","ФІЛІЯ (ІНШИЙ ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ)",,
123,121,"620","ПРЕДСТАВНИЦТВО",,
124,,"800","ОБ'ЄДНАННЯ ГРОМАДЯН, ПРОФСПІЛКИ, БЛАГОДІЙНІ ОРГАНІЗАЦІЇ ТА ІНШІ ПОДІБНІ ОРГАНІЗАЦІЇ",,
125,124,"810","ПОЛІТИЧНА ПАРТІЯ",,
126,124,"815","ГРОМАДСЬКА ОРГАНІЗАЦІЯ",,
127,124,"820","СПІЛКА ОБ'ЄДНАНЬ ГРОМАДЯН",,
128,124,"825","РЕЛІГІЙНА ОРГАНІЗАЦІЯ",,
129,124,"830","ПРОФСПІЛКА",,
130,124,"835","ОБ'ЄДНАННЯ ПРОФСПІЛОК",,
131,124,"840","ТВОРЧА СПІЛКА (ІНША ПРОФЕСІЙНА ОРГАНІЗАЦІЯ)",,
132,124,"845","БЛАГОДІЙНА ОРГАНІЗАЦІЯ",,
133,124,"850","ОРГАНІЗАЦІЯ РОБОТОДАВЦІВ",,
134,124,"855","ОБ'ЄДНАННЯ СПІВВЛАСНИКІВ БАГАТОКВАРТИРНОГО БУДИНКУ",,
135,124,"860","ОРГАН САМООРГАНІЗАЦІЇ НАСЕЛЕННЯ",,
136,,"900","ІНШІ ОРГАНІЗАЦІЙНО-ПРАВОВІ ФОРМИ",,
137,136,"910","ПІДПРИЄМЕЦЬ-ФІЗИЧНА ОСОБА",,
138,136,"915","ТОВАРНА БІРЖА",,
139,136,"920","ФОНДОВА БІРЖА",,
140,136,"995","ІНШІ ОРГАНІЗАЦІЙНО-ПРАВОВІ ФОРМИ",,
141,79,"200","СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО",,"4/10/06, 00:00:00"
142,136,"935","СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ",,
143,107,"410","ОРГАН ДЕРЖАВНОЇ ВЛАДИ",,
144,136,"940","НЕДЕРЖАВНИЙ ПЕНСІЙНИЙ ФОНД",,
145,136,"950","САДІВНИЧЕ ТОВАРИСТВО","10/5/09, 00:00:00",
146,100,"321","ЖИТЛОВО-БУДІВЕЛЬНИЙ КООПЕРАТИВ","10/5/09, 00:00:00",
147,100,"322","ГАРАЖНИЙ КООПЕРАТИВ","10/5/09, 00:00:00",
